媒体名称,备注,所属表名,所属列名,是否官媒,判断理由,提取的主管单位(隐式)
21经济网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
CGTN,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻单位（19家）及其主管主办的报刊网站（67家）,主管主办的报刊网站（67家）,是,✅ 主管单位[地方党委宣传部/网信办]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/网信办
SHINE,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/网信办]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/网信办
iChongqing,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/网信办]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/网信办
七一网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
三亚广播电视台,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方广播电视局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方广播电视局
三亚新闻网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
三亚日报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
三峡宜昌网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
三峡新闻网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
三峡日报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
三明市广播电视台,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方广播电视局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方广播电视局
三明日报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
三明网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
三秦网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
三秦都市报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
三门峡广播电视台,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻单位（573家）,是,✅ 主管单位[地方广播电视局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方广播电视局
三门峡广播电视网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方广播电视局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方广播电视局
